timestamp,user,src_ip,country,event_type,EventCode,process,command,file,dest_ip
2026-04-01 10:00:00,guest,10.0.0.5,AU,dns_query,,malware.exe,normal,/var/tmp/file_11.exe,172.16.0.3
2026-04-01 10:00:30,admin,192.168.1.10,IN,dns_query,,cmd.exe,normal,/var/tmp/file_42.exe,203.0.113.5
2026-04-01 10:01:00,charlie,198.51.100.23,AU,port_scan,,explorer.exe,normal,/var/tmp/file_17.exe,198.51.100.23
2026-04-01 10:01:30,bob,192.168.1.10,IN,successful_login,4624.0,explorer.exe,normal,/var/tmp/file_11.exe,198.51.100.23
2026-04-01 10:02:00,bob,192.168.1.10,CN,successful_login,4624.0,malware.exe,normal,/var/tmp/file_10.exe,172.16.0.3
2026-04-01 10:02:30,alice,10.0.0.5,RU,account_created,,powershell.exe,normal,/var/tmp/file_10.exe,192.168.1.10
2026-04-01 10:03:00,admin,10.0.0.5,IN,powershell_encoded,,explorer.exe,encoded_command,/var/tmp/file_23.exe,198.51.100.23
2026-04-01 10:03:30,alice,172.16.0.3,CN,privilege_escalation,,powershell.exe,normal,/var/tmp/file_23.exe,10.0.0.5
2026-04-01 10:04:00,charlie,198.51.100.23,CN,suspicious_task,,cmd.exe,normal,/var/tmp/file_41.exe,198.51.100.23
2026-04-01 10:04:30,bob,198.51.100.23,CN,dns_query,,cmd.exe,normal,/var/tmp/file_27.exe,10.0.0.5
2026-04-01 10:05:00,admin,172.16.0.3,US,failed_login,4625.0,svchost.exe,normal,/var/tmp/file_46.exe,192.168.1.10
2026-04-01 10:05:30,bob,172.16.0.3,CN,privilege_escalation,,explorer.exe,normal,/var/tmp/file_17.exe,172.16.0.3
2026-04-01 10:06:00,bob,172.16.0.3,AU,failed_login,4625.0,explorer.exe,normal,/var/tmp/file_48.exe,192.168.1.10
2026-04-01 10:06:30,alice,10.0.0.5,AU,usb_insert,,cmd.exe,normal,/var/tmp/file_29.exe,198.51.100.23
2026-04-01 10:07:00,guest,192.168.1.10,US,account_created,,powershell.exe,normal,/var/tmp/file_37.exe,192.168.1.10
2026-04-01 10:07:30,bob,172.16.0.3,AU,privilege_escalation,,powershell.exe,normal,/var/tmp/file_29.exe,10.0.0.5
2026-04-01 10:08:00,admin,203.0.113.5,AU,process_execution,,svchost.exe,normal,/var/tmp/file_42.exe,203.0.113.5
2026-04-01 10:08:30,alice,172.16.0.3,AU,process_execution,,svchost.exe,normal,/var/tmp/file_12.exe,203.0.113.5
2026-04-01 10:09:00,guest,192.168.1.10,AU,suspicious_task,,malware.exe,normal,/var/tmp/file_37.exe,10.0.0.5
